title,clickbait
"In Hollywood, the Easy-Money Generation Toughens Up",0
1700 runners still unaccounted for in UK's Lake District following flood,0
Yankees Pitchers Trade Fielding Drills for Putting Practice,0
Large earthquake rattles Indonesia; Seventh in two days,0
Coldplay's new album hits stores worldwide this week,0
U.N. Leader Presses Sri Lanka on Speeding Relief to War Refugees in Camps,0
2 Somali-Americans Charged With Aiding Terror,0
"US Highway Administration releases interim report on Boston's Big Dig: press release claims tunnel safe, but report does not",0
White House Announces International Meetings to Address Energy and Climate Issues,0
"With Troubled Coyotes, Gretzky Called On as Savior Again",0
Door opens mid-Qantas flight; plane makes an emergency landing,0
Gas prices surge in Northeast US,0
"Schapelle Corby found guilty, sentenced to 20 years",0
"2008 SecuTech Expo starts in Taipei, Taiwan for grasping global security industry",0
"New year introduces Illinois texting while driving ban, among other laws",0
Rod Woodson Tries to Stay Grounded Amid Hall of Fame Talk,0
Former US President Gerald Ford hospitalized with pneumonia,0
Obama Welcomes Specter to the Party,0
"New law to help asbestos sufferers in Victoria, Australia",0
France Approves Crackdown on Internet Piracy,0
"With Fine Print, the Rollout Dazzles This Time",0
UK's most-read papers found to be in contempt of court,0
"As Germany Sinks, Its Economic System Is Questioned",0
Tropical Storm Dolores now active,0
Car Bomb Kills Police Official in Spain,0
"'Invitational Games for the Deaf, Taipei 2008' starts, new slogan for 2009 Summer Deaflympics unveiled",0
US government stops Haiti evacuations,0
Credit Card Industry Aims to Profit From Sterling Payers,0
Google Maps incorporates satellite images,0
"Seven dead, one missing, two survive French helicopter crash off Gabon coast",0
Wikinews interviews 0 A.D. game development team,0
Gates Issues Warning to North Korea,0
Global Industrial Slump Prompts Plant Closings and Layoffs Across Asia,0
Nuclear leaks after Japan quake are worse than first reported,0
"UEFA Champions League: April 1, 2008",0
"Medtronic Paid $788,000 to Doctor Accused of Faking Study",0
Ivory Coast beats Serbia and Montenegro 3-2 in Group C,0
Political Shifts on Gay Rights Lag Behind Culture,0
Taliban militant kills at least thirteen in northwest Pakistan,0
National Park Service covers donation box at United Airlines Flight 93 memorial,0
Yankees Profit From Their Own Seventh-Inning Stretch,0
At least twenty dead after mudslides in Peru,0
Iran Plans Tests Toward Starting a Nuclear Plant,0
Contestant seriously injured during live German game show,0
Former US Senator Jesse Helms dead at 86,0
Kimi R�ikk�nen wins 2009 Belgian Grand Prix,0
Yahoo and Microsoft Said to Be Weighing Ad Pact,0
Suspect in model Jasmine Fiore's murder found dead,0
Irish win narrowly over Italy in RBS 6 opening match,0
"In Gaza, Weighing Crimes and Ethics in Urban Warfare",0
Australian newspapers could be fined for breaches of media standards,0
Bull moose shot by police in Alaska,0
A Town Reborn Faces a New Threat,0
"Islamist militia driven out of Mogadishu, vow to keep fighting",0
Ichiro Suzuki Delivers Memorable Conclusion to W.B.C.,0
Controversial U.S. abortion doctor shot dead in Kansas church,0
Iran executes woman despite stay of execution,0
General Says Shoot Dealers in Afghanistan,0
Former Indian President R. Venkataraman dies age 98,0
Failed suicide bomber imprisoned for life,0
Queensland win W-League Grand Final,0
Obama Toughens Lighting Rules to Cut Energy Use,0
Inuk hunter adrift on arctic ice floe,0
Human remains in mass grave confirm Argentina secret death camp,0
Australian rules football: 2010 Gippsland Football League finals take shape two weeks out,0
Local Agencies Team Up to Sell Industry on Minneapolis,0
"United Airlines to hire 2,000 flight attendants",0
More Banks Under Stress as Recession Wears On,0
"Police officer killed, at least 18 injured in south Thailand blasts",0
Senior Afghan General Dies in Helicopter Crash,0
Taibu quits Zimbabwe cricket team after further threats,0
"To Get a Business Loan, Know How the Bank Thinks",0
Muslim Brotherhood facing troubled times,0
Cuba to use open-source software,0
Dwarf gets penis glued to vacuum cleaner,0
"Body of missing student found in Bath, England",0
Botswana holds parliamentary elections,0
Search continues for nine missing after midair collision off California,0
Leaders Meet Amid Tensions Over Report Of Turkish Plot,0
When the Mall Looks More Like Main Street,0
Pork Industry Fights Concerns Over Swine Flu,0
Details emerge on how al-Zarqawi's location was pinned,0
Next generation DVD format war nearing deadline,0
Two Editors to Share No. 2 Spot at The Associated Press,0
"In Reporting a Scandal, the Media Are Accused of Just Listening",0
Elections in El Salvador Invoke Rivalries of Civil War Years,0
Olympic gold medalist Evan Lysacek gets hero's welcome in hometown,0
Activists protest against School of the Americas,0
Macedonia says compromise with Greece over name dispute possible,0
Alcatel Chief Tries to Paint a Rosy Picture,0
UN official: DR Congo is �rape capital of the world�,0
Canadian top court strikes down private medicare ban in Quebec,0
Shadows of Violence Cling to Indian Politician,0
Cafe Experience Is Shifting to the Home,0
Controversial Archbishop Abandons a Move to New Jersey,0
Pittsburgh Dominates San Diego to Reach A.F.C. Title Game,0
Obama Speaks at N.A.A.C.P. Celebration,0
Woman gives birth on New Jersey PATH train,0
One Bid to Organize Nurses Faces Setback in Congress,0
Red Sox And Varitek Agree to 1-Year Deal,0
"UEFA Cup: April 10, 2008",0
Coordinated terrorist attack hits London,0
"Transgender woman dies after beating in Harlem, New York",0
"Apple announces Mac OS X Lion, iOS 5, and iCloud",0
Louisville Withstands Late Villanova Threat,0
